,Intensidad,Magnitud,GAP
697,1.0,4.6,121.0
698,1.0,4.6,127.0
699,1.0,4.6,62.0
700,1.0,4.6,76.0
701,1.0,4.6,126.0
702,1.0,4.6,124.0
703,1.0,5.1,94.0
704,1.0,5.1,22.0
705,1.0,5.1,43.0
706,1.0,5.1,103.0
707,1.0,5.1,26.0
708,1.0,5.1,56.0
709,1.0,5.6,25.0
710,1.0,4.4,141.0
711,1.0,4.4,137.0
712,1.0,4.4,112.0
713,1.0,4.4,131.0
714,1.0,4.4,123.0
715,1.0,4.4,179.0
716,1.0,4.4,149.0
717,1.0,4.4,110.0
718,1.0,4.4,169.0
719,1.0,4.4,140.0
720,1.0,4.4,152.0
721,1.0,4.4,136.0
722,1.0,4.4,170.0
723,1.0,4.4,108.0
724,1.0,4.4,109.0
725,1.0,4.4,113.0
726,1.0,4.4,120.0
727,1.0,4.4,147.0
728,1.0,4.4,122.0
729,1.0,4.4,142.0
730,1.0,4.4,151.0
731,1.0,4.4,144.0
732,1.0,4.4,102.0
733,1.0,4.4,149.0
734,1.0,4.4,144.0
735,1.0,4.4,179.0
736,1.0,4.4,126.0
737,1.0,4.4,124.0
738,1.0,4.4,150.0
739,1.0,4.4,154.0
740,1.0,4.4,136.0
741,1.0,4.9,123.0
742,1.0,4.9,104.0
743,1.0,4.9,69.0
744,1.0,4.9,63.0
745,1.0,4.9,40.0
746,1.0,5.9,34.0
747,1.0,4.2,161.0
748,1.0,4.2,112.0
749,1.0,4.2,141.0
750,1.0,4.2,149.0
751,1.0,4.2,120.0
752,1.0,4.2,170.0
753,1.0,4.2,148.0
754,1.0,4.2,141.0
755,1.0,4.2,155.0
756,1.0,4.2,126.0
757,1.0,4.2,162.0
758,1.0,4.2,161.0
759,1.0,4.2,151.0
760,1.0,4.2,173.0
761,1.0,4.2,124.0
762,1.0,4.2,154.0
763,1.0,4.2,94.0
764,1.0,4.2,145.0
765,1.0,4.2,148.0
766,1.0,4.2,157.0
767,1.0,4.2,122.0
768,1.0,4.2,133.0
769,1.0,4.2,120.0
770,1.0,4.7,115.0
771,1.0,4.7,60.0
772,1.0,4.7,143.0
773,1.0,4.7,122.0
774,1.0,4.7,128.0
775,1.0,4.7,118.0
776,1.0,4.7,87.0
777,1.0,4.7,118.0
778,1.0,4.7,117.0
779,1.0,4.7,36.0
780,1.0,4.7,49.0
781,1.0,4.7,123.0
782,1.0,4.7,127.0
783,1.0,4.7,127.0
784,1.0,4.7,98.0
785,1.0,4.7,63.0
786,1.0,4.7,66.0
787,1.0,4.7,61.0
788,1.0,4.7,125.0
789,1.0,4.7,105.0
790,1.0,4.7,121.0
791,1.0,4.7,101.0
792,1.0,5.2,59.0
793,1.0,5.2,36.0
794,1.0,5.2,83.0
795,1.0,4.6,116.0
796,1.0,4.4,82.0
797,2.9,4.5,117.0
798,2.9,4.5,128.0
799,2.9,5.3,40.0
800,2.9,3.8,154.0
801,2.9,4.6,138.0
802,2.9,4.6,116.6
803,2.9,4.4,146.0
804,2.9,4.4,150.0
805,2.9,4.7,46.4
806,3.4,4.5,136.0
807,3.4,4.5,104.0
808,3.4,4.5,117.0
809,3.4,4.5,125.0
810,3.4,4.5,113.0
811,3.4,4.5,124.0
812,3.4,4.5,108.0
813,3.4,4.5,110.6
814,3.4,5.0,83.0
815,3.4,5.0,22.3
816,3.4,5.5,69.4
817,3.4,4.3,158.0
818,3.4,4.3,123.0
819,3.4,4.8,129.0
820,3.4,5.3,71.0
821,3.4,5.3,46.0
822,3.4,4.6,142.0
823,3.4,4.6,120.0
824,3.4,4.6,125.0
825,3.4,4.6,138.0
826,3.4,4.6,112.0
827,3.4,5.1,46.1
828,3.4,5.6,17.7
829,3.4,6.1,10.8
830,3.4,6.1,20.8
831,3.4,4.4,108.0
832,3.4,4.4,124.0
833,3.4,4.4,123.0
834,3.4,4.4,109.8
835,3.4,4.4,98.6
836,3.4,4.9,126.0
837,3.4,4.9,122.0
838,3.4,4.9,107.6
839,3.4,4.2,123.0
840,3.4,4.7,122.0
841,3.4,4.7,109.0
842,3.4,4.7,109.0
843,3.4,4.7,116.3
844,3.4,4.7,79.1
845,3.4,4.7,127.2
846,3.4,5.2,101.0
847,3.4,4.4,128.0
848,3.9,4.5,112.0
849,3.9,4.5,134.0
850,3.9,5.0,112.7
851,3.9,4.8,126.0
852,3.9,5.8,30.0
853,3.9,5.1,119.0
854,3.9,5.4,44.0
855,3.9,6.2,17.0
856,4.3,4.8,62.0
857,4.3,4.8,102.0
858,4.3,5.3,62.0
859,4.3,5.3,79.7
860,4.3,4.6,85.0
861,4.3,4.6,107.0
862,4.3,5.1,96.0
863,4.3,6.1,63.5
864,4.3,6.6,14.1
865,4.3,4.4,131.0
866,4.3,4.4,119.0
867,4.3,4.9,81.6
868,4.3,5.4,29.3
869,4.3,5.9,22.7
870,4.8,4.5,119.0
871,4.8,5.0,79.8
872,4.8,5.0,118.9
873,4.8,4.6,126.7
874,4.8,5.1,44.6
875,4.8,4.9,83.0
876,5.3,5.0,23.7
877,5.3,4.8,100.8
878,5.3,5.1,66.0
879,5.3,5.6,39.0
880,5.3,5.6,34.8
881,3.3,4.5,135.0
882,3.3,5.0,103.0
883,3.3,3.9,160.5
884,3.3,4.6,102.0
885,3.3,4.9,97.0
886,3.8,4.5,124.0
887,3.8,4.5,116.0
888,3.8,4.5,117.0
889,3.8,4.5,82.3
890,3.8,5.0,93.0
891,3.8,5.0,80.8
892,3.8,4.8,123.0
893,3.8,4.8,116.0
894,3.8,4.8,116.0
895,3.8,4.8,100.0
896,3.8,4.8,120.7
897,3.8,4.8,96.5
